q0,q1,q2,q3,q4,q5
0.0,0.0,0.0,0.0,0.0,0.0
0.0013489249499574214,0.0013224068349889228,0.0012808350464857926,0.0010493342528888263,0.00121364126262911,0.0011518757578696207
0.0027116837669099838,0.0026594869354773574,0.0025782089041559387,0.002110299248192809,0.0024424240269000537,0.0023179461260893204
0.004087922011682762,0.0040108526140579664,0.0038917741470165753,0.003182723848586273,0.0036860919560267732,0.0034979025848996684
0.005477281372023468,0.005376110810939743,0.005221176835419578,0.004266434335609265,0.004944383112926995,0.0046914315608760256
0.006879399832600681,0.0067548633267384426,0.006566056746014047,0.005361254480175683,0.006217030090379313,0.005898214589757664
0.008293911846776882,0.008146707058645813,0.00792604760594002,0.006467005613862084,0.007503760144403777,0.007117928482036088
0.009720448510056478,0.009551234239805414,0.009300777331073472,0.007583506700937522,0.008804295330779538,0.008350245491198938
0.011158637735107991,0.010968032681720677,0.010689868268127947,0.008710574411094714,0.010118352644610975,0.00959483348452425
0.012608104428258788,0.0123966860195181,0.012092937440415742,0.009848023192842548,0.011445644162851416,0.010851356116318028
0.01406847066735992,0.01383677395988682,0.013509596797068193,0.010995665347519841,0.0127858771896919,0.012119473003486656
0.015539355880917649,0.015287872531513234,0.014939453465512323,0.01215331110389002,0.014138754404720184,0.013398839903334306
0.017020377028387896,0.01674955433782791,0.016382110006998407,0.013320768693276296,0.015503974013753318,0.014689108893473643
0.01851114878152884,0.01822138881187992,0.01783716467497076,0.014497844425196686,0.01688122990224553,0.015989928553737463
0.020011283706706705,0.019702942473152265,0.019304211676071905,0.01568434276345845,0.018270211791171262,0.017300944149976905
0.021520392448049014,0.021193779186130822,0.020782841433568514,0.016880066402671066,0.019670605395281333,0.01862179781963133
0.02303808391133912,0.022693460420437326,0.022272640852985203,0.018084816345137096,0.02108209258362892,0.019952128758953438
0.024563965448545808,0.024201545512336442,0.02377319358973145,0.019298391978080146,0.02250435154226039,0.021291573411772242
0.026097643042881067,0.025717591927425478,0.02528408031850479,0.020520591151169356,0.023937056938964432,0.022639765659675824
0.02763872149427908,0.027241155524314546,0.02680487900425264,0.02175121025429951,0.02537988008997169,0.02399633701349437
0.029186804605189458,0.028771790819104484,0.02833516517447402,0.022990044295586376,0.0268324891284958,0.025360916805963953
0.03074149536657716,0.030309051250468743,0.029874512192641395,0.024236886979536538,0.02829454917500536,0.02673313238545008
0.03230239614402233,0.03185248944514575,0.031422491532522495,0.025491530785351497,0.029765722509115296,0.02811260931060976
0.03386910886381249,0.03340165748364744,0.03297867305318124,0.026753767045325734,0.03124566874298527,0.029498971545870396
0.035441235198919945,0.03495610716598958,0.03454262527443694,0.028023386023298465,0.03273404499611096,0.030891841657603017
0.037018376754757935,0.03651539027725003,0.03611391565256034,0.029300176993119428,0.034230506071394315,0.03229084101086712
0.03860013525460826,0.03807905885276057,0.03769211085598589,0.03058392831708881,0.03573470463237697,0.033695589966604336
0.040186112724614455,0.03964666544273895,0.039276777040819194,0.03187442752433188,0.037246291381520955,0.0351057080791573
0.04177591167823437,0.04121776337616781,0.040867480125919745,0.03317146138906925,0.03876491523941979,0.03652081429399078
0.04336913530004651,0.04279190702372792,0.04246378606733898,0.03447481600874351,0.04029022352482254,0.03794052714549118
0.04496538762880531,0.04436865205959418,0.04406526113189535,0.03578427688196405,0.04182186213535321,0.03936446495472133
0.04656427373964066,0.045947555721903684,0.04567147216966852,0.03709962898623143,0.04335947572880677,0.04079224602700709
0.048165399925298086,0.0475281770717057,0.04728198688519626,0.03842065685540341,0.04490270790490354,0.042223488849232646
0.04976837387631616,0.04911007725020584,0.048896374107159184,0.039747144656865206,0.04645120138738284,0.043657812286721616
0.051372804860039215,0.0506928197341168,0.05051420405633976,0.04107887626836661,0.0480045982063168,0.04509483577958163
0.052978303898363374,0.05227597058893063,0.05213504861164393,0.04241563535448928,0.049562539880525384,0.04653417953838997
0.05458448394411574,0.053859098719928396,0.053758481573975773,0.04375720544270788,0.05112466759997326,0.04797546473909913
0.056190960055966716,0.05544177612074542,0.05538407892775757,0.04510336999900908,0.052690622408029394,0.049418313717040876
0.057797349571777006,0.057023578119312225,0.05701141909989005,0.0464539125030332,0.05426004538347089,0.050862350159909
0.059403272280281826,0.05860408362099307,0.0586400832159499,0.04780861652270318,0.055832577822111734,0.052307199299600704
0.06100835059101556,0.06018287534874646,0.06026965535342472,0.049167265788307025,0.057407861417938764,0.05375248810279849
0.06261220970238224,0.061759540080134755,0.06189972279178786,0.05052964426599939,0.058985538443636576,0.05519784546017415
0.0642144777677772,0.06333366888101166,0.06352987625921894,0.05189553623068912,0.060565251930383986,0.05664290237409871
0.06581478605966802,0.06490485733571981,0.06515971017577872,0.05326472633828014,0.06214664584680556,0.05808729214474209
0.06741276913154283,0.0664727057736332,0.06678882289285089,0.054636999697233166,0.06372936527696152,0.05953065055444811
0.0690080649776368,0.06803681949188208,0.0684168169286658,0.056012141939417184,0.06531305659726117,0.06097261605027162
0.07060031519034779,0.06959680897410071,0.07004329919972589,0.05738993929021904,0.06689736765218468,0.0624128299245654
