tau1,tau2,tau3,tau4,tau5,tau6
41.33054580378882,-66.41479991631397,-12.039808134613523,1.3002377151905908,-0.19744555908520353,0.10732715421100822
40.80378966625904,-67.13055132815897,-12.310360354146603,1.3112942518180382,-0.19936971250414104,0.10688053875723973
39.747916318316385,-68.57706757881789,-12.87207322634503,1.3135102283189677,-0.19978603473787154,0.1052733257083999
38.67858509701888,-70.0441634400226,-13.441773782236083,1.315517862915292,-0.20016671495397248,0.10363400317210363
37.596297202281136,-71.53092995978474,-14.019105297586783,1.3173156500534526,-0.20051123046245897,0.10196361404447846
36.501565780870216,-73.03644535765724,-14.603706511897428,1.3189023141275706,-0.2008191192610076,0.1002632266363119
35.39491564403198,-74.55977572944298,-15.195211902465397,1.3202768178973434,-0.2010899820769819,0.09853393406333268
34.27688295889125,-76.09997576095893,-15.793251959920878,1.3214383704421488,-0.20132348424821692,0.09677685359883428
33.148014914017644,-77.65608944993127,-16.397453464897144,1.3223864346233456,-0.20151935743554455,0.09499312598840769
32.008869358996435,-79.2271508356992,-17.007439765742976,1.323120734021551,-0.20167740115937158,0.09318391472589474
30.86001441887008,-80.81218473606611,-17.62283105704164,1.3236412593256062,-0.20179748415657872,0.09135040529067517
29.70202808378186,-82.41020749058146,-18.243244658718908,1.3239482741455602,-0.20187954555089713,0.08949380434589001
28.53549777443251,-84.02022770999099,-18.868295295675118,1.3240423202266396,-0.20192359583265465,0.08761533889766714
27.361019884216986,-85.64124703047231,-19.497595377473576,1.3239242220453427,-0.20192971764556036,0.0857162554159703
26.17919929820301,-87.27226087320858,-20.130755278376324,1.323595090755878,-0.2018980663737478,0.08379781891565465
24.99064889071989,-88.91225920777634,-20.767383617197403,1.3230563274808382,-0.20182887052954943,0.08186131199967117
23.795989001956432,-90.56022731873772,-21.407087536831604,1.3223096259261462,-0.20172243193957543,0.07990803386460417
22.5958468943746,-92.21514657565305,-22.049472983638516,1.3213569742969535,-0.2015791257257188,0.07793929926778918
21.39085619077467,-93.87599520469453,-22.694144986060063,1.3202006565154376,-0.20139940008348386,0.07595643745860389
20.181656294261643,-95.54174906241744,-23.34070793280467,1.3188432527173575,-0.20118377585491884,0.07396079107306115
18.968891792253416,-97.21138241020792,-23.988765850127848,1.3172876390284363,-0.20093284589970004,0.07195371499383976
17.75321184539337,-98.88386868885559,-24.637922678114414,1.315536986612767,-0.20064727426412973,0.06993657517673219
16.535269562002078,-100.55818129349463,-25.28778254616116,1.3135947599797584,-0.20032779514954363,0.06791074744349812
15.315721361190969,-102.23329434703078,-25.937950047080985,1.311464714564466,-0.199975211686462,0.06587761624434023
14.095226324420207,-103.90818347224204,-26.588030510000216,1.3091508935702856,-0.19959039451397131,0.06383857339035257
12.87444553759546,-105.58182656175738,-27.237630271876736,1.3066576240796979,-0.19917428017116745,0.06179501675771731
11.654041425723738,-107.2532045450481,-27.8863569474491,1.3039895124437335,-0.19872786930563954,0.05974834896595704
10.434677080537769,-108.92130215250664,-28.533819697756577,1.3011514389473573,-0.19825222470243356,0.05769997603093474
9.217015583757593,-110.5851086749658,-29.179629496737604,1.2981485517735452,-0.19774846914208102,0.055651305996231776
8.001719326896167,-112.24361871839734,-29.82339939593482,1.2949862602734676,-0.19721778309372387,0.0536037475444925
6.789449329362108,-113.89583295443626,-30.46474478768431,1.291670227548325,-0.19666140224940534,0.05155870858918529
5.580864556314977,-115.5407588639259,-31.103283665839108,1.288206362376327,-0.19608061490859535,0.04951759485230501
4.376621238303459,-117.17741147421853,-31.738636884438712,1.2846008104951039,-0.19547675922250196,0.047481808428519276
3.177372193632298,-118.80481409003502,-32.37042841437527,1.280859945255344,-0.19485122030374527,0.04545274633770701
1.9837661552277526,-120.4219990159755,-32.99828559743718,1.2769903576801511,-0.1942054272131231,0.043431799070489635
0.7964471038380768,-122.02800827127263,-33.62183939807039,1.2729988459488222,-0.19354084983362863,0.041420349127979095
-0.3839463916094231,-123.62189429535601,-34.24072465244545,1.268892404331505,-0.19285899563844672,0.03941976955904652
-1.556781824137945,-125.20272064438616,-34.854580314978506,1.2646782116052868,-0.19216140636747425,0.03743142249753253
-2.721433389088373,-126.76956267796186,-35.46304970209159,1.260363618981814,-0.19144965461950467,0.03545665770288856
-3.8772826120260078,-128.32150823459105,-36.06578073280032,1.2559561375821326,-0.19072534037328515,0.033496811107367325
-5.023718964077748,-129.857658297025,-36.6624261666281,1.2514634254808845,-0.1899900874467876,0.031553203371036335
-6.160140462646806,-131.37712764602392,-37.25264383836823,1.2468932743663579,-0.18924553990642862,0.02962713844932281
-7.285954256605837,-132.87904550120854,-37.83609688926941,1.2422535958489316,-0.18849335843836054,0.027719902175910676
-8.4005771947777,-134.36255615012837,-38.41245399514979,1.2375524074522748,-0.18773521669215182,0.025832760863040243
-9.50343637679427,-135.8268195643482,-38.98138959103667,1.2327978183233228,-0.18697279760754956,0.023966959922136873
-10.593969684938074,-137.27101200143073,-39.54258409195698,1.2279980147082932,-0.186207789737157,0.022123722509065878
-11.671626296197404,-138.6943265930754,-40.09572411002509,1.2231612452291127,-0.18544188357661698,0.020304248195901452
-12.735867173986382,-140.09597391906559,-40.64050266773054,1.2182958059945936,-0.18467676791049084,0.018509711671346928
-13.786165538375442,-141.47518256649698,-41.17661940726751,1.2134100255961504,-0.18391412618731295,0.016741261473816976
-14.822007314322953,-142.83119967260333,-41.70378079526362,1.2085122500256025,-0.18315563293457163,0.015000018760048292
