tau1,tau2,tau3,tau4,tau5,tau6,tau7
-0.018457,18.725614,-0.050541,5.225554,-0.000159,0.103446,0.136813
-0.021913,18.660358,-0.051726,5.197238,-0.000157,0.102336,0.136233
-0.025523,18.595156,-0.052870,5.168753,-0.000156,0.101234,0.135640
-0.029292,18.530011,-0.053975,5.140101,-0.000154,0.100139,0.135034
-0.033224,18.464923,-0.055043,5.111283,-0.000153,0.099053,0.134415
-0.037324,18.399893,-0.056077,5.082304,-0.000152,0.097974,0.133784
-0.041596,18.334923,-0.057078,5.053165,-0.000151,0.096903,0.133140
-0.046044,18.270013,-0.058049,5.023868,-0.000150,0.095839,0.132483
-0.050673,18.205166,-0.058993,4.994417,-0.000149,0.094784,0.131814
-0.055486,18.140382,-0.059912,4.964814,-0.000148,0.093736,0.131132
-0.060487,18.075663,-0.060808,4.935062,-0.000146,0.092696,0.130437
-0.065681,18.011009,-0.061684,4.905162,-0.000145,0.091664,0.129731
-0.071071,17.946422,-0.062542,4.875118,-0.000143,0.090641,0.129012
-0.076662,17.881903,-0.063383,4.844932,-0.000141,0.089625,0.128281
-0.082456,17.817453,-0.064211,4.814607,-0.000138,0.088616,0.127537
-0.088458,17.753073,-0.065028,4.784144,-0.000136,0.087616,0.126782
-0.094671,17.688765,-0.065836,4.753548,-0.000133,0.086624,0.126014
-0.101100,17.624529,-0.066636,4.722820,-0.000129,0.085640,0.125234
-0.107747,17.560366,-0.067433,4.691963,-0.000125,0.084664,0.124443
-0.114616,17.496278,-0.068227,4.660979,-0.000121,0.083696,0.123639
-0.121710,17.432266,-0.069020,4.629872,-0.000116,0.082736,0.122824
-0.129034,17.368331,-0.069816,4.598643,-0.000110,0.081784,0.121998
-0.136590,17.304473,-0.070616,4.567295,-0.000104,0.080839,0.121159
-0.144381,17.240694,-0.071423,4.535831,-0.000097,0.079903,0.120309
-0.152411,17.176996,-0.072238,4.504254,-0.000089,0.078975,0.119448
-0.160683,17.113378,-0.073063,4.472565,-0.000081,0.078056,0.118575
-0.169201,17.049842,-0.073902,4.440768,-0.000071,0.077144,0.117691
-0.177966,16.986390,-0.074755,4.408865,-0.000061,0.076240,0.116795
-0.186982,16.923021,-0.075626,4.376859,-0.000050,0.075344,0.115888
-0.196252,16.859738,-0.076516,4.344752,-0.000039,0.074457,0.114971
-0.205778,16.796540,-0.077427,4.312547,-0.000026,0.073577,0.114042
-0.215565,16.733430,-0.078361,4.280247,-0.000012,0.072706,0.113102
-0.225613,16.670408,-0.079320,4.247853,0.000003,0.071842,0.112152
-0.235927,16.607474,-0.080307,4.215369,0.000018,0.070987,0.111190
-0.246508,16.544631,-0.081323,4.182797,0.000035,0.070140,0.110218
-0.257359,16.481878,-0.082370,4.150140,0.000053,0.069301,0.109235
-0.268482,16.419218,-0.083451,4.117400,0.000073,0.068470,0.108242
-0.279881,16.356650,-0.084567,4.084579,0.000093,0.067647,0.107238
-0.291557,16.294175,-0.085720,4.051682,0.000115,0.066832,0.106224
-0.303512,16.231795,-0.086912,4.018709,0.000138,0.066026,0.105199
-0.315750,16.169511,-0.088145,3.985663,0.000162,0.065227,0.104164
-0.328271,16.107323,-0.089421,3.952548,0.000187,0.064436,0.103119
-0.341079,16.045233,-0.090742,3.919365,0.000214,0.063654,0.102064
-0.354175,15.983240,-0.092109,3.886118,0.000242,0.062880,0.100999
-0.367561,15.921346,-0.093525,3.852808,0.000272,0.062113,0.099924
-0.381239,15.859553,-0.094991,3.819438,0.000303,0.061355,0.098840
-0.395211,15.797860,-0.096509,3.786011,0.000336,0.060605,0.097745
-0.409479,15.736268,-0.098081,3.752529,0.000370,0.059863,0.096641
-0.424045,15.674779,-0.099708,3.718994,0.000406,0.059129,0.095527
-0.438910,15.613393,-0.101393,3.685410,0.000443,0.058403,0.094404
-0.454075,15.552111,-0.103137,3.651779,0.000482,0.057685,0.093271
-0.469544,15.490933,-0.104941,3.618103,0.000523,0.056975,0.092129
-0.485316,15.429862,-0.106808,3.584384,0.000565,0.056274,0.090977
-0.501394,15.368896,-0.108739,3.550626,0.000609,0.055580,0.089817
-0.517778,15.308038,-0.110735,3.516830,0.000655,0.054894,0.088647
-0.534471,15.247287,-0.112799,3.483000,0.000703,0.054216,0.087469
-0.551473,15.186645,-0.114932,3.449136,0.000752,0.053546,0.086281
-0.568785,15.126113,-0.117135,3.415243,0.000803,0.052884,0.085085
-0.586410,15.065690,-0.119410,3.381322,0.000856,0.052230,0.083880
-0.604347,15.005378,-0.121759,3.347376,0.000911,0.051584,0.082666
-0.622599,14.945178,-0.124183,3.313407,0.000968,0.050946,0.081444
-0.641165,14.885090,-0.126683,3.279418,0.001027,0.050316,0.080213
-0.660047,14.825115,-0.129262,3.245411,0.001087,0.049694,0.078974
-0.679246,14.765253,-0.131920,3.211388,0.001150,0.049080,0.077727
-0.698762,14.705506,-0.134659,3.177352,0.001215,0.048473,0.076471
-0.718597,14.645873,-0.137481,3.143305,0.001282,0.047875,0.075207
-0.738750,14.586356,-0.140386,3.109249,0.001350,0.047284,0.073935
-0.759223,14.526956,-0.143376,3.075187,0.001421,0.046701,0.072655
-0.780017,14.467672,-0.146453,3.041122,0.001494,0.046126,0.071367
-0.801131,14.408506,-0.149618,3.007055,0.001569,0.045559,0.070072
-0.822566,14.349457,-0.152871,2.972989,0.001647,0.044999,0.068769
-0.844323,14.290528,-0.156215,2.938925,0.001726,0.044448,0.067458
-0.866401,14.231717,-0.159651,2.904868,0.001808,0.043904,0.066139
-0.888802,14.173027,-0.163180,2.870817,0.001891,0.043368,0.064813
-0.911526,14.114456,-0.166803,2.836777,0.001978,0.042839,0.063480
-0.934572,14.056007,-0.170521,2.802749,0.002066,0.042318,0.062140
-0.957941,13.997680,-0.174336,2.768735,0.002156,0.041805,0.060792
-0.981634,13.939474,-0.178249,2.734738,0.002249,0.041300,0.059437
-1.005649,13.881391,-0.182260,2.700760,0.002345,0.040802,0.058075
-1.029987,13.823432,-0.186371,2.666803,0.002442,0.040312,0.056707
-1.054648,13.765596,-0.190584,2.632869,0.002542,0.039829,0.055331
-1.079632,13.707884,-0.194898,2.598960,0.002644,0.039354,0.053949
-1.104939,13.650297,-0.199316,2.565079,0.002749,0.038887,0.052560
-1.130568,13.592835,-0.203837,2.531228,0.002856,0.038427,0.051164
-1.156520,13.535498,-0.208464,2.497408,0.002966,0.037974,0.049762
-1.182793,13.478288,-0.213198,2.463623,0.003078,0.037529,0.048353
-1.209388,13.421204,-0.218038,2.429873,0.003192,0.037092,0.046938
-1.236304,13.364247,-0.222986,2.396162,0.003309,0.036662,0.045517
-1.263541,13.307418,-0.228044,2.362491,0.003428,0.036239,0.044090
-1.291098,13.250716,-0.233211,2.328862,0.003550,0.035824,0.042656
-1.318974,13.194143,-0.238490,2.295277,0.003675,0.035416,0.041217
-1.347170,13.137699,-0.243880,2.261739,0.003802,0.035016,0.039772
-1.375684,13.081383,-0.249382,2.228249,0.003931,0.034622,0.038321
-1.404516,13.025197,-0.254998,2.194809,0.004063,0.034237,0.036864
-1.433664,12.969141,-0.260728,2.161422,0.004198,0.033858,0.035401
-1.463129,12.913215,-0.266572,2.128089,0.004335,0.033486,0.033933
-1.492910,12.857419,-0.272533,2.094812,0.004475,0.033122,0.032460
-1.523004,12.801755,-0.278610,2.061594,0.004617,0.032765,0.030981
-1.553413,12.746222,-0.284803,2.028436,0.004762,0.032415,0.029496
-1.584134,12.690820,-0.291115,1.995339,0.004910,0.032073,0.028007
-1.615167,12.635550,-0.297545,1.962307,0.005060,0.031737,0.026512
-1.646510,12.580412,-0.304095,1.929340,0.005213,0.031409,0.025012
-1.678163,12.525407,-0.310764,1.896441,0.005369,0.031087,0.023508
-1.710124,12.470534,-0.317553,1.863612,0.005527,0.030773,0.021998
-1.742393,12.415795,-0.324463,1.830854,0.005688,0.030465,0.020483
-1.774968,12.361189,-0.331495,1.798169,0.005852,0.030165,0.018964
-1.807847,12.306716,-0.338649,1.765559,0.006018,0.029871,0.017440
-1.841031,12.252377,-0.345925,1.733026,0.006188,0.029585,0.015912
-1.874516,12.198172,-0.353324,1.700571,0.006359,0.029305,0.014379
-1.908302,12.144102,-0.360847,1.668196,0.006534,0.029032,0.012841
-1.942388,12.090165,-0.368494,1.635903,0.006711,0.028766,0.011299
-1.976772,12.036364,-0.376266,1.603694,0.006891,0.028507,0.009753
-2.011452,11.982697,-0.384162,1.571570,0.007074,0.028254,0.008203
-2.046428,11.929166,-0.392184,1.539534,0.007260,0.028008,0.006648
-2.081697,11.875769,-0.400331,1.507586,0.007448,0.027769,0.005090
-2.117258,11.822508,-0.408605,1.475728,0.007639,0.027537,0.003528
-2.153110,11.769382,-0.417004,1.443962,0.007833,0.027311,0.001961
-2.189250,11.716392,-0.425531,1.412289,0.008030,0.027092,0.000391
-2.225678,11.663538,-0.434185,1.380712,0.008229,0.026880,-0.001183
-2.262391,11.610820,-0.442966,1.349232,0.008431,0.026674,-0.002760
-2.299387,11.558238,-0.451874,1.317849,0.008636,0.026474,-0.004341
-2.336666,11.505792,-0.460910,1.286567,0.008844,0.026281,-0.005926
-2.374224,11.453482,-0.470075,1.255385,0.009055,0.026094,-0.007514
-2.412061,11.401308,-0.479368,1.224307,0.009268,0.025914,-0.009105
-2.450175,11.349271,-0.488789,1.193332,0.009484,0.025741,-0.010699
-2.488562,11.297370,-0.498339,1.162464,0.009703,0.025573,-0.012297
-2.527223,11.245606,-0.508018,1.131702,0.009925,0.025412,-0.013898
-2.566154,11.193978,-0.517826,1.101050,0.010150,0.025257,-0.015502
-2.605354,11.142486,-0.527763,1.070507,0.010377,0.025109,-0.017109
-2.644820,11.091131,-0.537829,1.040075,0.010607,0.024966,-0.018719
-2.684552,11.039913,-0.548024,1.009757,0.010840,0.024830,-0.020332
-2.724546,10.988831,-0.558349,0.979552,0.011076,0.024700,-0.021947
-2.764800,10.937886,-0.568804,0.949463,0.011315,0.024577,-0.023566
-2.805313,10.887078,-0.579388,0.919491,0.011556,0.024459,-0.025186
-2.846082,10.836406,-0.590101,0.889636,0.011800,0.024347,-0.026810
-2.887105,10.785870,-0.600944,0.859902,0.012047,0.024242,-0.028436
-2.928381,10.735471,-0.611916,0.830287,0.012297,0.024142,-0.030064
-2.969906,10.685208,-0.623018,0.800795,0.012550,0.024048,-0.031695
-3.011678,10.635081,-0.634249,0.771426,0.012805,0.023960,-0.033328
-3.053696,10.585090,-0.645610,0.742181,0.013064,0.023878,-0.034963
-3.095957,10.535236,-0.657099,0.713061,0.013325,0.023802,-0.036600
-3.138459,10.485518,-0.668719,0.684068,0.013588,0.023732,-0.038240
-3.181199,10.435935,-0.680467,0.655203,0.013855,0.023668,-0.039881
-3.224176,10.386488,-0.692344,0.626467,0.014125,0.023609,-0.041525
-3.267386,10.337177,-0.704350,0.597861,0.014397,0.023556,-0.043170
-3.310827,10.288002,-0.716484,0.569387,0.014672,0.023509,-0.044817
-3.354498,10.238961,-0.728747,0.541044,0.014950,0.023467,-0.046466
-3.398395,10.190056,-0.741139,0.512835,0.015230,0.023431,-0.048117
-3.442516,10.141286,-0.753658,0.484760,0.015513,0.023401,-0.049769
-3.486859,10.092651,-0.766306,0.456821,0.015800,0.023376,-0.051423
-3.531421,10.044150,-0.779081,0.429018,0.016088,0.023356,-0.053079
-3.576200,9.995784,-0.791983,0.401352,0.016380,0.023342,-0.054735
-3.621193,9.947552,-0.805013,0.373825,0.016674,0.023334,-0.056394
-3.666398,9.899454,-0.818169,0.346437,0.016972,0.023331,-0.058053
-3.711812,9.851490,-0.831452,0.319190,0.017271,0.023333,-0.059714
-3.757433,9.803659,-0.844862,0.292084,0.017574,0.023341,-0.061376
-3.803258,9.755962,-0.858397,0.265119,0.017879,0.023354,-0.063040
-3.849285,9.708398,-0.872058,0.238298,0.018187,0.023372,-0.064704
-3.895510,9.660966,-0.885844,0.211621,0.018498,0.023395,-0.066369
-3.941932,9.613667,-0.899756,0.185088,0.018811,0.023424,-0.068036
-3.988548,9.566501,-0.913792,0.158701,0.019128,0.023457,-0.069703
-4.035355,9.519466,-0.927952,0.132460,0.019446,0.023496,-0.071372
-4.082351,9.472563,-0.942236,0.106367,0.019768,0.023540,-0.073041
-4.129532,9.425791,-0.956644,0.080421,0.020092,0.023589,-0.074711
-4.176897,9.379150,-0.971174,0.054624,0.020419,0.023643,-0.076381
-4.224442,9.332640,-0.985827,0.028976,0.020748,0.023702,-0.078052
-4.272165,9.286260,-1.000603,0.003479,0.021081,0.023766,-0.079724
-4.320063,9.240010,-1.015500,-0.021868,0.021415,0.023835,-0.081397
-4.368134,9.193889,-1.030518,-0.047063,0.021753,0.023908,-0.083070
-4.416374,9.147898,-1.045657,-0.072105,0.022093,0.023987,-0.084743
-4.464782,9.102036,-1.060916,-0.096995,0.022436,0.024070,-0.086417
-4.513354,9.056302,-1.076296,-0.121732,0.022781,0.024158,-0.088091
-4.562088,9.010696,-1.091794,-0.146314,0.023129,0.024251,-0.089766
-4.610980,8.965218,-1.107411,-0.170741,0.023479,0.024348,-0.091441
-4.660029,8.919868,-1.123147,-0.195013,0.023832,0.024450,-0.093116
-4.709231,8.874644,-1.139000,-0.219130,0.024188,0.024557,-0.094791
-4.758584,8.829546,-1.154971,-0.243090,0.024546,0.024668,-0.096466
-4.808085,8.784575,-1.171058,-0.266892,0.024907,0.024784,-0.098142
-4.857730,8.739729,-1.187261,-0.290538,0.025270,0.024904,-0.099817
-4.907519,8.695008,-1.203580,-0.314025,0.025636,0.025029,-0.101492
-4.957446,8.650412,-1.220013,-0.337354,0.026004,0.025158,-0.103168
-5.007511,8.605940,-1.236561,-0.360523,0.026375,0.025292,-0.104843
-5.057709,8.561591,-1.253223,-0.383534,0.026748,0.025430,-0.106518
-5.108039,8.517366,-1.269997,-0.406384,0.027124,0.025572,-0.108193
-5.158497,8.473263,-1.286884,-0.429074,0.027502,0.025719,-0.109868
-5.209081,8.429283,-1.303883,-0.451604,0.027882,0.025869,-0.111542
-5.259787,8.385424,-1.320994,-0.473972,0.028266,0.026024,-0.113216
-5.310614,8.341686,-1.338215,-0.496179,0.028651,0.026184,-0.114890
-5.361557,8.298069,-1.355545,-0.518224,0.029039,0.026347,-0.116564
-5.412616,8.254572,-1.372985,-0.540107,0.029429,0.026515,-0.118237
-5.463785,8.211195,-1.390534,-0.561828,0.029822,0.026686,-0.119909
-5.515064,8.167937,-1.408190,-0.583385,0.030217,0.026862,-0.121581
-5.566448,8.124797,-1.425954,-0.604780,0.030615,0.027041,-0.123252
-5.617936,8.081775,-1.443824,-0.626011,0.031014,0.027225,-0.124923
-5.669524,8.038870,-1.461800,-0.647079,0.031417,0.027412,-0.126594
-5.721209,7.996081,-1.479881,-0.667983,0.031821,0.027604,-0.128263
-5.772989,7.953409,-1.498067,-0.688722,0.032228,0.027799,-0.129932
-5.824861,7.910853,-1.516356,-0.709298,0.032637,0.027998,-0.131600
-5.876822,7.868411,-1.534749,-0.729709,0.033049,0.028201,-0.133268
-5.928870,7.826084,-1.553243,-0.749955,0.033462,0.028408,-0.134934
-5.981001,7.783870,-1.571839,-0.770036,0.033878,0.028618,-0.136600
-6.033212,7.741770,-1.590536,-0.789953,0.034296,0.028832,-0.138265
-6.085502,7.699781,-1.609333,-0.809704,0.034717,0.029050,-0.139929
-6.137866,7.657905,-1.628229,-0.829290,0.035140,0.029271,-0.141592
-6.190303,7.616140,-1.647224,-0.848710,0.035564,0.029496,-0.143254
-6.242809,7.574485,-1.666316,-0.867965,0.035991,0.029724,-0.144916
-6.295382,7.532940,-1.685505,-0.887055,0.036421,0.029956,-0.146576
-6.348018,7.491504,-1.704791,-0.905979,0.036852,0.030191,-0.148235
-6.400716,7.450176,-1.724172,-0.924737,0.037286,0.030430,-0.149893
-6.453472,7.408957,-1.743647,-0.943329,0.037721,0.030672,-0.151550
-6.506283,7.367844,-1.763217,-0.961756,0.038159,0.030918,-0.153206
-6.559148,7.326838,-1.782879,-0.980017,0.038599,0.031167,-0.154860
-6.612062,7.285938,-1.802633,-0.998112,0.039041,0.031419,-0.156514
-6.665023,7.245142,-1.822479,-1.016041,0.039485,0.031674,-0.158166
-6.718029,7.204451,-1.842416,-1.033805,0.039931,0.031933,-0.159817
-6.771076,7.163864,-1.862442,-1.051403,0.040380,0.032195,-0.161467
-6.824162,7.123379,-1.882558,-1.068836,0.040830,0.032460,-0.163116
-6.877285,7.082996,-1.902761,-1.086102,0.041282,0.032728,-0.164763
-6.930440,7.042715,-1.923052,-1.103204,0.041736,0.032999,-0.166409
-6.983627,7.002535,-1.943430,-1.120140,0.042193,0.033273,-0.168053
-7.036841,6.962454,-1.963893,-1.136911,0.042651,0.033550,-0.169696
-7.090080,6.922472,-1.984441,-1.153517,0.043111,0.033830,-0.171338
-7.143342,6.882589,-2.005072,-1.169957,0.043573,0.034114,-0.172978
-7.196624,6.842804,-2.025788,-1.186233,0.044037,0.034400,-0.174617
-7.249922,6.803115,-2.046585,-1.202344,0.044503,0.034689,-0.176255
-7.303235,6.763523,-2.067464,-1.218291,0.044971,0.034980,-0.177890
-7.356560,6.724026,-2.088423,-1.234074,0.045441,0.035275,-0.179525
-7.409893,6.684623,-2.109462,-1.249692,0.045913,0.035572,-0.181158
-7.463233,6.645314,-2.130581,-1.265146,0.046386,0.035872,-0.182789
-7.516576,6.606098,-2.151777,-1.280437,0.046862,0.036175,-0.184419
-7.569920,6.566974,-2.173050,-1.295564,0.047339,0.036480,-0.186047
-7.623263,6.527942,-2.194400,-1.310528,0.047818,0.036788,-0.187674
-7.676601,6.489000,-2.215825,-1.325330,0.048298,0.037099,-0.189299
-7.729932,6.450148,-2.237325,-1.339968,0.048781,0.037412,-0.190922
-7.783253,6.411384,-2.258898,-1.354444,0.049265,0.037728,-0.192544
-7.836562,6.372709,-2.280545,-1.368758,0.049751,0.038046,-0.194164
-7.889855,6.334121,-2.302263,-1.382911,0.050239,0.038367,-0.195782
-7.943132,6.295620,-2.324053,-1.396901,0.050729,0.038690,-0.197398
-7.996388,6.257204,-2.345912,-1.410731,0.051220,0.039016,-0.199013
-8.049621,6.218873,-2.367842,-1.424400,0.051713,0.039344,-0.200627
-8.102829,6.180626,-2.389839,-1.437908,0.052207,0.039674,-0.202238
-8.156009,6.142462,-2.411904,-1.451257,0.052703,0.040006,-0.203848
-8.209158,6.104380,-2.434036,-1.464445,0.053201,0.040341,-0.205456
-8.262274,6.066380,-2.456234,-1.477475,0.053701,0.040678,-0.207062
-8.315355,6.028460,-2.478497,-1.490345,0.054202,0.041017,-0.208666
-8.368397,5.990620,-2.500824,-1.503057,0.054704,0.041359,-0.210269
-8.421399,5.952859,-2.523214,-1.515611,0.055208,0.041702,-0.211869
-8.474357,5.915175,-2.545667,-1.528007,0.055714,0.042048,-0.213468
-8.527270,5.877569,-2.568181,-1.540246,0.056221,0.042395,-0.215065
-8.580134,5.840039,-2.590755,-1.552328,0.056730,0.042745,-0.216661
-8.632948,5.802584,-2.613389,-1.564253,0.057241,0.043096,-0.218254
-8.685708,5.765204,-2.636082,-1.576023,0.057752,0.043450,-0.219846
-8.738412,5.727898,-2.658833,-1.587638,0.058266,0.043806,-0.221435
-8.791058,5.690664,-2.681641,-1.599097,0.058780,0.044163,-0.223023
-8.843644,5.653502,-2.704505,-1.610402,0.059297,0.044522,-0.224609
-8.896166,5.616411,-2.727425,-1.621553,0.059814,0.044883,-0.226193
-8.948623,5.579391,-2.750398,-1.632551,0.060333,0.045246,-0.227775
-9.001012,5.542439,-2.773426,-1.643395,0.060854,0.045611,-0.229355
-9.053330,5.505556,-2.796505,-1.654088,0.061375,0.045977,-0.230933
-9.105575,5.468740,-2.819637,-1.664628,0.061899,0.046345,-0.232510
-9.157745,5.431990,-2.842819,-1.675017,0.062423,0.046715,-0.234084
-9.209838,5.395307,-2.866052,-1.685256,0.062949,0.047087,-0.235656
-9.261850,5.358688,-2.889333,-1.695344,0.063476,0.047460,-0.237227
-9.313780,5.322132,-2.912663,-1.705282,0.064005,0.047834,-0.238795
-9.365626,5.285640,-2.936040,-1.715072,0.064534,0.048210,-0.240362
-9.417384,5.249210,-2.959463,-1.724713,0.065065,0.048588,-0.241927
-9.469053,5.212841,-2.982932,-1.734207,0.065598,0.048967,-0.243489
-9.520630,5.176532,-3.006446,-1.743553,0.066131,0.049348,-0.245050
-9.572113,5.140282,-3.030003,-1.752752,0.066666,0.049729,-0.246609
-9.623499,5.104091,-3.053604,-1.761806,0.067202,0.050113,-0.248165
-9.674787,5.067958,-3.077246,-1.770714,0.067739,0.050497,-0.249720
-9.725974,5.031881,-3.100930,-1.779478,0.068277,0.050883,-0.251273
-9.777057,4.995859,-3.124654,-1.788097,0.068817,0.051271,-0.252823
-9.828035,4.959893,-3.148417,-1.796573,0.069358,0.051659,-0.254372
-9.878906,4.923980,-3.172219,-1.804906,0.069899,0.052049,-0.255919
-9.929666,4.888120,-3.196059,-1.813097,0.070442,0.052440,-0.257464
-9.980314,4.852313,-3.219935,-1.821147,0.070986,0.052832,-0.259006
-10.030847,4.816556,-3.243848,-1.829056,0.071531,0.053225,-0.260547
-10.081264,4.780850,-3.267795,-1.836825,0.072077,0.053619,-0.262086
-10.131562,4.745193,-3.291777,-1.844454,0.072624,0.054015,-0.263623
-10.181739,4.709585,-3.315792,-1.851945,0.073173,0.054411,-0.265158
-10.231792,4.674024,-3.339840,-1.859298,0.073722,0.054808,-0.266690
-10.281721,4.638509,-3.363919,-1.866513,0.074272,0.055207,-0.268221
-10.331521,4.603041,-3.388029,-1.873592,0.074823,0.055606,-0.269750
-10.381192,4.567617,-3.412169,-1.880536,0.075376,0.056006,-0.271277
-10.430731,4.532237,-3.436338,-1.887344,0.075929,0.056407,-0.272801
-10.480136,4.496900,-3.460536,-1.894018,0.076483,0.056809,-0.274324
-10.529405,4.461605,-3.484760,-1.900558,0.077038,0.057212,-0.275845
-10.578536,4.426351,-3.509011,-1.906966,0.077594,0.057616,-0.277364
-10.627526,4.391138,-3.533288,-1.913241,0.078151,0.058020,-0.278880
-10.676374,4.355964,-3.557590,-1.919385,0.078708,0.058425,-0.280395
-10.725078,4.320828,-3.581916,-1.925399,0.079267,0.058831,-0.281908
-10.773635,4.285730,-3.606265,-1.931283,0.079826,0.059237,-0.283419
-10.822043,4.250669,-3.630636,-1.937038,0.080386,0.059644,-0.284927
-10.870301,4.215643,-3.655028,-1.942664,0.080948,0.060052,-0.286434
-10.918407,4.180652,-3.679442,-1.948164,0.081509,0.060460,-0.287939
-10.966357,4.145696,-3.703875,-1.953536,0.082072,0.060869,-0.289442
-11.014151,4.110772,-3.728327,-1.958783,0.082636,0.061278,-0.290943
-11.061787,4.075881,-3.752797,-1.963905,0.083200,0.061688,-0.292441
-11.109262,4.041021,-3.777284,-1.968903,0.083765,0.062098,-0.293938
-11.156574,4.006191,-3.801788,-1.973777,0.084330,0.062508,-0.295433
-11.203722,3.971391,-3.826308,-1.978529,0.084897,0.062919,-0.296926
-11.250703,3.936620,-3.850842,-1.983159,0.085464,0.063331,-0.298417
-11.297516,3.901876,-3.875391,-1.987668,0.086032,0.063742,-0.299906
-11.344158,3.867160,-3.899952,-1.992057,0.086600,0.064155,-0.301393
-11.390628,3.832469,-3.924526,-1.996327,0.087169,0.064567,-0.302878
-11.436924,3.797804,-3.949112,-2.000478,0.087739,0.064979,-0.304361
-11.483044,3.763163,-3.973708,-2.004512,0.088309,0.065392,-0.305842
-11.528986,3.728545,-3.998314,-2.008429,0.088880,0.065805,-0.307321
-11.574748,3.693950,-4.022930,-2.012230,0.089452,0.066218,-0.308798
-11.620329,3.659377,-4.047554,-2.015916,0.090024,0.066632,-0.310274
-11.665725,3.624825,-4.072185,-2.019488,0.090597,0.067045,-0.311747
-11.710937,3.590293,-4.096823,-2.022947,0.091170,0.067459,-0.313218
-11.755961,3.555780,-4.121467,-2.026293,0.091744,0.067872,-0.314688
-11.800796,3.521285,-4.146116,-2.029528,0.092318,0.068286,-0.316155
-11.845441,3.486808,-4.170770,-2.032653,0.092893,0.068699,-0.317621
-11.889892,3.452347,-4.195427,-2.035667,0.093468,0.069113,-0.319084
-11.934149,3.417903,-4.220086,-2.038572,0.094044,0.069526,-0.320546
-11.978210,3.383473,-4.244748,-2.041370,0.094620,0.069939,-0.322006
-12.022073,3.349058,-4.269411,-2.044060,0.095196,0.070353,-0.323464
-12.065736,3.314656,-4.294075,-2.046645,0.095774,0.070766,-0.324920
-12.109198,3.280266,-4.318738,-2.049123,0.096351,0.071179,-0.326374
-12.152457,3.245889,-4.343400,-2.051498,0.096929,0.071591,-0.327826
-12.195510,3.211522,-4.368060,-2.053768,0.097507,0.072004,-0.329277
-12.238357,3.177165,-4.392717,-2.055937,0.098086,0.072416,-0.330725
-12.280995,3.142818,-4.417371,-2.058003,0.098665,0.072828,-0.332172
-12.323424,3.108479,-4.442020,-2.059968,0.099244,0.073240,-0.333616
-12.365640,3.074148,-4.466665,-2.061834,0.099824,0.073651,-0.335059
-12.407643,3.039824,-4.491304,-2.063601,0.100404,0.074062,-0.336500
-12.449431,3.005506,-4.515936,-2.065269,0.100984,0.074472,-0.337939
-12.491003,2.971193,-4.540561,-2.066840,0.101565,0.074883,-0.339376
-12.532356,2.936885,-4.565179,-2.068315,0.102145,0.075292,-0.340812
-12.573488,2.902581,-4.589787,-2.069695,0.102727,0.075701,-0.342245
-12.614400,2.868280,-4.614386,-2.070980,0.103308,0.076110,-0.343677
-12.655088,2.833981,-4.638974,-2.072172,0.103889,0.076518,-0.345107
-12.695551,2.799684,-4.663552,-2.073271,0.104471,0.076926,-0.346535
-12.735787,2.765388,-4.688117,-2.074278,0.105053,0.077333,-0.347961
-12.775796,2.731092,-4.712670,-2.075195,0.105635,0.077739,-0.349385
-12.815575,2.696795,-4.737210,-2.076021,0.106217,0.078145,-0.350808
-12.855123,2.662497,-4.761736,-2.076759,0.106800,0.078550,-0.352228
-12.894438,2.628197,-4.786247,-2.077409,0.107382,0.078955,-0.353647
-12.933518,2.593893,-4.810743,-2.077972,0.107965,0.079358,-0.355064
-12.972363,2.559587,-4.835222,-2.078449,0.108548,0.079761,-0.356480
-13.010971,2.525276,-4.859685,-2.078841,0.109131,0.080163,-0.357893
-13.049340,2.490960,-4.884130,-2.079148,0.109714,0.080565,-0.359305
-13.087468,2.456639,-4.908556,-2.079372,0.110297,0.080965,-0.360715
-13.125355,2.422311,-4.932963,-2.079514,0.110880,0.081365,-0.362123
-13.162998,2.387976,-4.957351,-2.079574,0.111463,0.081764,-0.363529
-13.200397,2.353634,-4.981718,-2.079554,0.112046,0.082162,-0.364934
-13.237549,2.319283,-5.006064,-2.079454,0.112629,0.082559,-0.366336
-13.274454,2.284923,-5.030387,-2.079276,0.113212,0.082955,-0.367737
-13.311109,2.250554,-5.054688,-2.079020,0.113795,0.083351,-0.369137
-13.347514,2.216174,-5.078966,-2.078687,0.114378,0.083745,-0.370534
-13.383667,2.181783,-5.103220,-2.078279,0.114961,0.084138,-0.371930
-13.419567,2.147381,-5.127448,-2.077796,0.115544,0.084530,-0.373324
-13.455212,2.112966,-5.151651,-2.077238,0.116127,0.084921,-0.374716
-13.490600,2.078539,-5.175828,-2.076608,0.116710,0.085311,-0.376106
-13.525731,2.044098,-5.199978,-2.075906,0.117292,0.085700,-0.377495
-13.560603,2.009643,-5.224101,-2.075133,0.117875,0.086088,-0.378882
-13.595215,1.975173,-5.248195,-2.074289,0.118457,0.086474,-0.380267
-13.629565,1.940688,-5.272260,-2.073377,0.119040,0.086860,-0.381650
-13.663652,1.906187,-5.296295,-2.072396,0.119622,0.087244,-0.383032
-13.697474,1.871669,-5.320300,-2.071348,0.120203,0.087627,-0.384412
-13.731031,1.837135,-5.344274,-2.070233,0.120785,0.088008,-0.385790
