q0,q1,q2,q3,q4,q5,q6
-0.257593542,-0.469050062,-0.381107650,-1.226333917,0.537649908,0.586130150,-0.255140860
-0.257950207,-0.468603980,-0.381043238,-1.229157700,0.536612847,0.585959512,-0.255083290
-0.258309630,-0.468153203,-0.380980964,-1.231975891,0.535572199,0.585787054,-0.255027542
-0.258671808,-0.467697731,-0.380920833,-1.234788472,0.534527973,0.585612779,-0.254973622
-0.259036734,-0.467237562,-0.380862847,-1.237595425,0.533480179,0.585436693,-0.254921535
-0.259404405,-0.466772694,-0.380807012,-1.240396732,0.532428827,0.585258798,-0.254871284
-0.259774814,-0.466303126,-0.380753332,-1.243192376,0.531373925,0.585079101,-0.254822873
-0.260147958,-0.465828857,-0.380701810,-1.245982337,0.530315485,0.584897604,-0.254776308
-0.260523830,-0.465349886,-0.380652451,-1.248766599,0.529253514,0.584714312,-0.254731593
-0.260902426,-0.464866211,-0.380605259,-1.251545143,0.528188025,0.584529230,-0.254688732
-0.261283741,-0.464377832,-0.380560239,-1.254317951,0.527119025,0.584342363,-0.254647729
-0.261667769,-0.463884747,-0.380517393,-1.257085006,0.526046525,0.584153713,-0.254608588
-0.262054506,-0.463386955,-0.380476727,-1.259846290,0.524970534,0.583963286,-0.254571314
-0.262443945,-0.462884456,-0.380438244,-1.262601785,0.523891063,0.583771085,-0.254535912
-0.262836082,-0.462377248,-0.380401948,-1.265351474,0.522808121,0.583577116,-0.254502384
-0.263230912,-0.461865331,-0.380367843,-1.268095339,0.521721719,0.583381383,-0.254470736
-0.263628428,-0.461348703,-0.380335934,-1.270833362,0.520631865,0.583183889,-0.254440972
-0.264028626,-0.460827365,-0.380306224,-1.273565525,0.519538571,0.582984639,-0.254413095
-0.264431499,-0.460301314,-0.380278716,-1.276291812,0.518441845,0.582783638,-0.254387110
-0.264837044,-0.459770552,-0.380253416,-1.279012205,0.517341698,0.582580889,-0.254363020
-0.265245253,-0.459235076,-0.380230326,-1.281726686,0.516238141,0.582376398,-0.254340831
-0.265656122,-0.458694886,-0.380209451,-1.284435238,0.515131182,0.582170168,-0.254320546
-0.266069645,-0.458149982,-0.380190795,-1.287137843,0.514020833,0.581962203,-0.254302168
-0.266485815,-0.457600364,-0.380174360,-1.289834485,0.512907103,0.581752509,-0.254285702
-0.266904629,-0.457046030,-0.380160152,-1.292525146,0.511790002,0.581541089,-0.254271152
-0.267326079,-0.456486981,-0.380148173,-1.295209808,0.510669540,0.581327948,-0.254258522
-0.267750161,-0.455923216,-0.380138428,-1.297888456,0.509545728,0.581113090,-0.254247815
-0.268176867,-0.455354735,-0.380130921,-1.300561070,0.508418576,0.580896519,-0.254239036
-0.268606194,-0.454781537,-0.380125654,-1.303227635,0.507288094,0.580678239,-0.254232188
-0.269038133,-0.454203622,-0.380122631,-1.305888133,0.506154292,0.580458256,-0.254227275
-0.269472681,-0.453620991,-0.380121857,-1.308542548,0.505017181,0.580236573,-0.254224300
-0.269909830,-0.453033643,-0.380123335,-1.311190862,0.503876771,0.580013195,-0.254223269
-0.270349576,-0.452441578,-0.380127068,-1.313833058,0.502733072,0.579788125,-0.254224184
-0.270791911,-0.451844796,-0.380133060,-1.316469120,0.501586094,0.579561369,-0.254227048
-0.271236830,-0.451243297,-0.380141315,-1.319099030,0.500435848,0.579332930,-0.254231867
-0.271684326,-0.450637081,-0.380151835,-1.321722773,0.499282344,0.579102813,-0.254238643
-0.272134395,-0.450026148,-0.380164626,-1.324340330,0.498125593,0.578871023,-0.254247379
-0.272587028,-0.449410499,-0.380179689,-1.326951686,0.496965605,0.578637563,-0.254258080
-0.273042222,-0.448790133,-0.380197029,-1.329556823,0.495802391,0.578402437,-0.254270750
-0.273499968,-0.448165051,-0.380216648,-1.332155726,0.494635961,0.578165651,-0.254285391
-0.273960261,-0.447535254,-0.380238551,-1.334748377,0.493466325,0.577927209,-0.254302007
-0.274423095,-0.446900741,-0.380262741,-1.337334760,0.492293495,0.577687114,-0.254320601
-0.274888462,-0.446261513,-0.380289221,-1.339914858,0.491117480,0.577445371,-0.254341178
-0.275356358,-0.445617571,-0.380317994,-1.342488656,0.489938291,0.577201984,-0.254363740
-0.275826775,-0.444968914,-0.380349064,-1.345056136,0.488755939,0.576956959,-0.254388292
-0.276299708,-0.444315545,-0.380382434,-1.347617283,0.487570435,0.576710298,-0.254414835
-0.276775149,-0.443657462,-0.380418107,-1.350172079,0.486381788,0.576462007,-0.254443374
-0.277253092,-0.442994668,-0.380456087,-1.352720509,0.485190011,0.576212089,-0.254473912
-0.277733530,-0.442327162,-0.380496376,-1.355262557,0.483995113,0.575960550,-0.254506452
-0.278216458,-0.441654945,-0.380538978,-1.357798206,0.482797105,0.575707392,-0.254540998
-0.278701868,-0.440978019,-0.380583897,-1.360327440,0.481595998,0.575452622,-0.254577552
-0.279189753,-0.440296383,-0.380631135,-1.362850243,0.480391802,0.575196242,-0.254616119
-0.279680108,-0.439610040,-0.380680695,-1.365366599,0.479184530,0.574938257,-0.254656700
-0.280172925,-0.438918989,-0.380732580,-1.367876492,0.477974190,0.574678672,-0.254699300
-0.280668198,-0.438223232,-0.380786795,-1.370379906,0.476760795,0.574417491,-0.254743921
-0.281165920,-0.437522770,-0.380843340,-1.372876826,0.475544354,0.574154718,-0.254790566
-0.281666084,-0.436817604,-0.380902221,-1.375367234,0.474324880,0.573890357,-0.254839239
-0.282168683,-0.436107735,-0.380963439,-1.377851116,0.473102382,0.573624413,-0.254889943
-0.282673710,-0.435393165,-0.381026998,-1.380328456,0.471876872,0.573356890,-0.254942680
