joint_names,arm_left_1_joint,arm_left_2_joint,arm_left_3_joint,arm_left_4_joint,arm_left_5_joint,arm_left_6_joint,arm_left_7_joint,arm_right_1_joint,arm_right_2_joint,arm_right_3_joint,arm_right_4_joint,arm_right_5_joint,arm_right_6_joint,arm_right_7_joint,gripper_left_joint,gripper_right_joint,head_1_joint,head_2_joint,leg_left_1_joint,leg_left_2_joint,leg_left_3_joint,leg_left_4_joint,leg_left_5_joint,leg_left_6_joint,leg_right_1_joint,leg_right_2_joint,leg_right_3_joint,leg_right_4_joint,leg_right_5_joint,leg_right_6_joint,torso_1_joint,torso_2_joint,,,,
gripper,talos/right_gripper,handle,table/contact_01,joint_states,0.709090344609,2.41634701471,-0.0322006535829,-1.39924454412,-0.315800145433,-0.509661707929,0.319741932773,1.04771854915,-1.73515913979,-0.952383477015,-0.0586062153702,1.59274040133,1.23647271354,-0.432335440835,6.81769532651e-06,2.37276864823e-12,0.350357684723,-0.73648588635,-0.29586397986,-0.0761710058714,-1.1580464191,1.00282065309,-0.204302097449,-0.0790062708484,-0.300641069283,-0.0888486505714,-1.23883955991,1.28504655287,-0.406146757797,-0.06546450116,0.805853557524,0.347105098046
gripper,talos/right_gripper,handle,table/contact_15,joint_states,-0.230121848578,2.79476011719,1.21222496204,-1.61095115013,1.64815258108,0.980980372968,-0.258660181338,0.409326253565,-1.36775711289,-1.78839917146,-0.310182899535,1.57778312991,1.31865590469,-0.572594462848,-3.68155359731e-05,2.37276864823e-12,0.763520751902,-1.10507760776,-0.0526924366254,0.227393919898,-1.0842619432,1.35243300971,-0.378536429027,-0.154990528353,-0.0532349209517,0.222534261441,-1.04370090515,1.32601924789,-0.392570069086,-0.150111573436,0.521630885978,0.698775946097
gripper,talos/right_gripper,handle,table/contact_19,joint_states,-1.4229597771,2.18167934426,1.53502533293,-0.454832973512,0.111764402098,-0.581547456495,-0.302577028641,1.24325478953,-1.48617448755,-0.821974017809,-0.905970491432,1.14302900618,1.21483063081,-0.680695793393,6.81769532651e-06,2.37276864823e-12,0.280020915868,-0.195957417007,-0.0645380408002,0.523602192754,-1.45255922552,0.956574882063,0.0100985623222,-0.193325809367,-0.0828820653737,0.495348378037,-1.3121619241,0.885622499398,-0.0479852535371,-0.158527584368,-0.477806492967,0.338996092106
gripper,talos/right_gripper,handle,table/contact_02,joint_states,-0.608998612892,2.07790665912,0.696449328674,-1.41314241006,0.900979301444,-0.872886541884,-0.0834509410534,1.17838254522,-2.21629405469,0.673338949366,-0.471872144482,-0.118509123875,0.816128570963,-0.676993786425,-4.36332283642e-05,-8.86299773528e-06,0.0863786806668,-0.412643686846,-0.104200839799,0.517217033322,-1.12836772581,0.780382197108,-0.00332856326178,-0.279817977656,-0.114518885143,0.492386257338,-1.01970014844,0.725671783055,-0.0522871109091,-0.253390911736,0.286774352717,0.433805931862
gripper,talos/right_gripper,handle,table/contact_03,joint_states,-0.432603352486,2.58394902998,0.684487154742,-0.149254413185,-1.65601423262,-0.555607500488,0.533893831993,0.770915911209,-1.43329962304,1.16015350483,-0.0573368462682,-1.61082699356,1.17874253968,0.302812239029,2.93587376632e-12,-8.86299773528e-06,0.762388333195,-0.855390084846,-0.293712507889,-0.137171956524,-0.960589535869,1.8740796829,-0.783141119115,-0.0458982476955,-0.29072787184,-0.15954988204,-0.890488152983,1.99054243524,-0.96925193027,-0.0233260679017,0.559908740011,0.415622986467
gripper,talos/right_gripper,handle,table/contact_06,joint_states,0.194730330272,1.71401825558,0.996533361566,-0.639074612255,-1.85148940442,1.21500720905,0.570698462594,0.290515756961,-1.7888431711,0.511961294267,-0.965448679007,1.7929133893,-0.493610132964,-0.616518127844,-4.36332283642e-05,-5.24962290349e-05,0.693142395123,-0.979308461738,-0.314153313214,-0.214857262032,-0.668573283183,0.291165316943,0.0702267742553,-0.0383479486938,-0.320085400689,-0.233030979063,-0.906238300722,0.898714633405,-0.300958818957,-0.0192727894584,1.1803469238,0.713505277559
gripper,talos/right_gripper,handle,table/contact_05,joint_states,-0.241084010341,1.52544829022,-1.7991427894,-1.74290801246,1.39879921032,0.930234924967,-0.181298462243,0.40517458805,-2.16267409534,1.65368785488,-0.648726706994,-1.3023127775,0.937254421052,-0.637505712099,-4.36332283642e-05,-8.86299773528e-06,0.569442184387,-1.24363857695,0.331135544695,0.126493331585,-1.72641602189,1.4499766738,-0.325054188857,-0.0665348456712,0.319806299216,0.110020662556,-1.65009338817,1.22681362533,-0.175291277862,-0.0465863805417,0.839069754325,-0.0783787483569
gripper,talos/right_gripper,handle,table/contact_12,joint_states,-1.12927425863,2.27071364088,1.72705048606,-1.32330866017,1.67517173519,-0.190244638198,-0.552159111676,0.715001762486,-1.20941360921,-0.33783625882,-0.657015955676,1.02409564074,0.838468785389,-0.595006944813,-4.36332283642e-05,-8.86299773528e-06,0.667180622499,-0.653826372856,0.106685112057,-0.0217902122495,-0.514011296472,1.08176128902,-0.453275807964,-0.12067031865,0.106632057085,-0.0213928895942,-0.604522495767,1.20447559257,-0.485433431032,-0.121069880853,1.18437889643,0.69631270851
gripper,talos/right_gripper,handle,table/contact_16,joint_states,-1.41823981106,1.79279162453,0.0888817230639,-1.14247916994,-0.60915767257,0.037149946721,-0.256565786236,0.766491846028,-1.31354500466,0.0806432874951,-0.293787521127,-2.37976937806,-0.762325387925,0.574603636796,-8.72664596638e-05,-9.6129460335e-05,0.766795289557,-0.749928564794,-0.196122695471,0.126402204014,-0.566575065645,0.304001122761,0.0756599424584,-0.165135827342,-0.196750890974,0.123034818869,-0.64442133606,0.577698405747,-0.120109195231,-0.161708980785,1.18331997031,0.403871255525
gripper,talos/right_gripper,handle,table/contact_17,joint_states,-0.514843840961,1.51649578457,0.894805508141,-1.14671295691,1.99459543086,0.234306702349,0.441805897334,1.05855558753,-1.83976694123,1.73177706437,-1.20082556731,1.0770476988,-0.302060247558,0.0268538676727,2.93587376632e-12,-5.24962290349e-05,0.763522797209,-0.663142067739,-0.137914055963,-0.364523856614,-0.414723431238,0.505460114995,-0.114545046597,-0.0268706209052,-0.13843998608,-0.385229211493,-0.631937608661,1.02393764391,-0.415991079503,-0.00615801311843,0.924837975759,0.701694104862
