,,,,joint_names,arm_left_1_joint,arm_left_2_joint,arm_left_3_joint,arm_left_4_joint,arm_left_5_joint,arm_left_6_joint,arm_left_7_joint,arm_right_1_joint,arm_right_2_joint,arm_right_3_joint,arm_right_4_joint,arm_right_5_joint,arm_right_6_joint,arm_right_7_joint,gripper_left_joint,gripper_right_joint,head_1_joint,head_2_joint,leg_left_1_joint,leg_left_2_joint,leg_left_3_joint,leg_left_4_joint,leg_left_5_joint,leg_left_6_joint,leg_right_1_joint,leg_right_2_joint,leg_right_3_joint,leg_right_4_joint,leg_right_5_joint,leg_right_6_joint,torso_1_joint,torso_2_joint
gripper,talos/left_gripper,handle,table/contact_21,joint_states,-0.917893763813,1.25524921654,-0.676198385429,-0.0767877226585,1.55594020223,-0.795307679287,0.463462638098,0.0457202700122,-2.05224372266,-1.35277019931,-1.06594886843,1.34540709152,-0.602119502399,-0.526878085638,2.52254647815e-05,2.37276864823e-12,0.763337355976,0.676427300107,0.304008129898,-0.483646280911,-0.921013528554,0.541524387879,-0.0785751145975,0.192418446921,0.285865095157,-0.515590940261,-0.994236735904,0.429144909929,0.0983239165355,0.228125989817,-0.233339809753,-0.126668223875
gripper,talos/left_gripper,handle,table/contact_24,joint_states,-0.728703747275,2.09149984418,-1.90804248238,-0.601220280731,-2.20381794673,0.761307847335,0.660641210342,-0.665523905737,-1.07576645346,-1.60926041568,-0.554158229528,-0.102255638689,0.594652765693,0.64860116558,-1.84077665186e-05,2.37276864823e-12,0.452930548509,1.09116116361,0.310410761176,-0.454956283799,-1.1675453334,0.821570102177,-0.198536247162,0.141348087781,0.288683529192,-0.486576301175,-1.24606269195,0.702427473376,-0.0107267776753,0.178425391988,-1.18171480322,-0.104490696634
gripper,talos/left_gripper,handle,table/contact_19,joint_states,-0.145411897278,2.24592150091,-0.962478029337,-0.581208063246,-1.72966112962,0.966720146679,0.308768515986,0.168492889629,-1.02587014265,1.14422934614,-0.180204393057,2.18705728915,-1.0472084595,-0.607410031694,-1.43171510842e-05,2.37276864823e-12,0.173107909106,1.23110345055,0.310360561655,0.243310691079,-1.13370859344,0.934996620396,-0.176554781841,-0.042856034405,0.302920634981,0.224901501827,-0.939254550145,0.459015676792,0.106680756246,-0.0230797386848,-0.237839167152,0.701097050777
gripper,talos/left_gripper,handle,table/contact_31,joint_states,0.34946645206,2.79925827566,0.0374157088923,-1.49405989662,-0.429316161844,0.342546772935,-0.343504658716,0.198351454281,-1.40676655011,0.679594235398,-1.6723698234,1.26785669279,0.317835365096,0.483442567418,-1.43171510842e-05,2.37276864823e-12,-0.159813645712,0.911075515582,0.0145542515034,0.0906871966491,-1.4362019349,0.80157928905,0.0509297753127,-0.0246789316158,0.0139260176512,0.0897479222603,-1.4003797211,0.756768847183,0.0596009683903,-0.0235600569265,-0.00616204875748,0.661985334376
gripper,talos/left_gripper,handle,table/contact_20,joint_states,-0.250276814076,2.37588335967,-0.669587886971,-1.13146902283,-1.55547856989,0.587861662303,-0.178986923638,0.418110070773,-0.969544082748,1.12715134629,-0.221208178886,2.17776663864,-1.05545820818,-0.600755623037,-1.02265356499e-05,1.84077718273e-05,0.231084201657,0.996636665588,0.304966586661,0.133745923456,-1.04177089302,0.984670468834,-0.233034516344,0.0118175421373,0.300731669963,0.119658293166,-0.923209111104,0.626942415725,0.00667000256628,0.0265217816416,-0.261810972546,0.690191406113
gripper,talos/left_gripper,handle,table/contact_14,joint_states,-0.450757962632,2.00961912668,0.234342889382,-0.326708186942,0.649379128198,-1.2015371533,0.310272498927,-0.616478395172,-1.46900977741,1.82266207046,-0.415392889349,0.519918819604,0.102916816367,0.122334286065,-1.02265356499e-05,1.84077718273e-05,0.0927232252055,1.00359616598,0.263181768122,-0.0033469647429,-1.16714218408,0.773290370632,-0.0875958803683,0.0272494268332,0.259024573117,-0.0113318954748,-1.04537821727,0.414101695105,0.149869026591,0.0362743302893,-0.281359160842,0.470684987163
gripper,talos/left_gripper,handle,table/contact_21,joint_states,-0.99346809354,1.23933057716,0.564239838887,-0.0618012097299,-0.592163562285,-1.01371790917,0.140910111637,-0.667813465918,-1.20060615558,0.565128589006,-1.19014426734,-0.840617636809,0.674141263929,0.279959334135,3.34066956502e-05,1.84077718273e-05,0.761489761338,0.670630977931,-0.273651784653,0.198442702279,-0.975469367155,0.893573008526,-0.216409040817,-0.0501691406782,-0.278150136984,0.184118709851,-0.899092056905,0.914931559781,-0.313290586385,-0.035187721477,-0.939140668805,0.0159900719223
gripper,talos/left_gripper,handle,table/contact_29,joint_states,-1.1450179031,1.48952846287,0.802813159661,-0.505688271582,-0.0118011059488,-0.987668870088,0.515414135883,-0.722835774357,-1.73495076263,-0.805629931883,-0.633754095766,-0.205950343106,-1.05602544019,-0.383462131163,3.34066956502e-05,1.84077718273e-05,0.317957965175,0.391880079772,-0.176525848026,-0.306723939896,-0.197858073732,0.162272416125,0.0205603112956,0.19304370309,-0.176677512397,-0.31744364702,-0.320680632383,0.51525988772,-0.209657720569,0.203766806812,-1.19514240817,0.705330837751
gripper,talos/left_gripper,handle,table/contact_32,joint_states,-0.767474939115,1.35424052897,0.170258924492,-1.40534978766,-0.785103830834,-1.22032125938,-0.575678446001,-0.715851931215,-0.824270224567,-1.06722638681,-0.0620624658329,-0.467062635343,-0.358068272316,0.523585481098,-1.02265356499e-05,1.84077718273e-05,0.617151032198,0.374928569412,0.0526099755302,-0.445703928222,-1.20971302716,1.95590365517,-0.829671550102,0.212283011635,0.0490843715489,-0.4830841455,-1.31431764647,2.05881598821,-0.829558531714,0.24979667215,0.114875267204,0.280470890097
gripper,talos/left_gripper,handle,table/contact_22,joint_states,-0.444754833775,1.51102460392,-0.0149903478808,-0.585501291976,-2.3195611115,1.15587906736,-0.536779420297,-0.145144422619,-0.55718317808,-0.215016648931,-2.10480715678,1.57871070892,-1.30196414841,0.647918373687,3.34066956502e-05,1.84077718273e-05,0.699574206124,0.877801560143,0.00739231251873,0.288846948738,-0.916996895735,2.05398025082,-1.00146397601,-0.0154229570397,0.00979646467112,0.271810012564,-0.860501893971,1.89585023263,-0.900434196542,0.0017711535083,-1.15846876249,0.701048155139
